residence,developer,attributes/class,attributes/construction_technology,attributes/walls,attributes/insulation,attributes/heating,attributes/num_apartments,attributes/state,attributes/protected_area,attributes/parking,financials/installmentPlan,financials/installmentPlanTerm,description,pricePerUnit,price,area,rooms,
ЖК Причал 8,Інтергал-Буд,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,автономне (в будинку),1109,"без ремонту, з ремонтом",від авто та сторонніх,підземний (142 паркомісця),true,5,"Назва комплексу «Причал 8» напряму пов'язана з концепцією, адже згідно з генпланом, у внутрішньодворовий простір входить берег озера Корольок. Берег озера очистять та облаштують пляжну зону з шезлонгами, а іншу частину двору розділять на функціональні зони: дитячу ігрову, спортивну та зону для відпочинку.Додатковий комфорт мешканцям «Причалу 8» створить власна набережна та парк з алеями для прогулянок серед квіткових клумб та дерев.ІнфраструктураДо супермаркетів «Сільпо» та «АТБ» можна дійти пішки, а за 6-7 хвилин можна доїхати до двох Novus та «Білли» на вибір. За 10 хвилин можна доїхати до гіпермаркету Metro Cash & Carry або зробити закупівлю товарів для дому та ремонту в «Епіцентрі».У плани забудовника також входить створення дитячого садка на території для сімей з маленькими дітьми. До інших найближчих садків Дарницького району можна доїхати за кілька хвилин на авто: 4 хвилин до «Дитячої Планети», 8 хвилин до «Мандаринки», «Райдуги» та «Малишарики», 10 хвилин до «Бурундучків» та «Монтессорі». Якщо потрібна школа біля дому — у пішому доступі школи №111, №209, №239. До інших навчальних закладів Дарницького району, таких як Київська інженерна гімназія, школи №62, №314, альтернативної школи «Да Вінчі» та інших, їхати 7-10 хвилин на авто.Сходити на тренування поруч з будинком «Причал 8» можна буде в фітнес-клуб Sport Life з басейном та spa-зоною, тренажерний зал Energy Gym, фітнес-клуб Fitness24. Залучити дитину до фізичної культури можна у дитячому клубі «Атюдики» або на спортивному майданчику на дворі комплексу.Особливостітериторія під цілодобовою охороною та відеоспостереженнямможна купити квартиру з готовим ремонтом «під ключ» від забудовникаопалювальний підземний паркінг під охороноюдля розвитку інфраструктури району та комфорту мешканців новобудови в проєкті передбачені комерційні приміщення на перші поверхи комплексу",,,45,1,
ЖК GENESIS,Євротранс,комфорт,монолітно-каркасна,цегла,мінеральна вата,централізоване,982,з чорновим ремонтом,від авто та сторонніх,підземний,true,,"В архітектурі комплексу GENESIS помітно вплив архітектурного стилю Нідерландів — різноманіття форм, практичність та м'які тони оздоблення фасадів. Перепади висот секцій створюють відчуття відкритого простору та не перешкоджають проникненню сонячного світла у квартири чи прибудинкову територію.Зелене подвір'я житлового комплексу GENESIS буде закрите для проїзду автомобілів, огороджене від шуму вулиці, оснащене дитячої ігровою зоною та майданчиком для занять спортом.ІнфраструктураБіля комплексу зручна транспортна розв'язка: хвилина пішки до Борщагівської вулиці, де є зупинки маршруток та трамваїв.Поруч з комплексом GENESIS кав'ярні та ресторани, піцерії та суші-бари, а також пара нічних клубів. Для покупок у 5 хвилинах пішки ТЦ «Аркадія» з магазинами, сервісними послугами та супермаркетом «Сільпо», у 15 хвилинах ТРЦ «Космополіт», де крім супермаркету розташований кінотеатр, льодова арена, роллердром, квест-кімнати та інші розваги. Продукти можна купити через дорогу від комлексу у супермаркеті «Фора» або пройшовши 10 хвилин до «АТБ».У ЖК GENESIS передбачений свій дитячий садок. Крім того молоді сім'ї з маленькими дітьми зможуть підібрати для дитини один з дитячих садків неподалік: до дитячого садка «Либідь» — 5 хвилин пішки, до школи-садка «Відродження» та «Сяйво» — 15 хвилин пішки, а до садочка №225 — 17 хвилин пішки. Для школярів на відстані 5-20 хвилин пішки школи №164, №34, №229 та науково-виховний комплекс «Ерудит». Також поруч 4 корпуси вищих навчальних закладів, серед яких Авіаційний університет та Київський політехнічний інститут.Для занять спортом поблизу тренажерні зали, фітнес-клуби та спортивний комплекс Sport Life з кардіоцентром, студією для групових занять, басейном та аквазоною.Особливостізалишити автомобіль можна у підземному паркінгу або на відкритій стоянціпланування квартир виконані з урахуванням різних стилів життя майбутніх мешканців2 входи у просторий під'їзд — з боку двору та з боку вулицінеподалік від будинку є 3 парки для прогулянок та відпочинку",44650,1786000,40,1,
31,Ковальська,комфорт,монолітно-каркасна,цегла,мінеральна вата,централізоване,134,без ремонту,від авто та сторонніх,підземний,true,,"31 — це проєкт класу «комфорт+», що складається з двох секцій висотою 9 і 16 поверхів. Забудовник спроєктував комплекс так, щоб уникнути типового для Києва планування в стилі ""вікна у вікна"". Кожна з двох секцій будинку повернута під своїм особливим і продуманим кутом, що відкриває види на парк, озеро і місто.Багаторівневий фасад, авторський дизайн, панорамне скління і спокійна колірна гамма — завдяки цьому новобудова виглядає сучасно і естетично. Внутрішній двір будинку — це місце, де панує безпека і затишок. На стилобаті буде зведена загальна зона відпочинку, де передбачено все для дозвілля: зелені насадження, дитячий ігровий майданчик, відкриті тераси поряд з квартирами. На першому поверсі будинку спроєктовані комерційні приміщення з відкритими скляними фасадами, де в майбутньому розмістяться кафе, магазини, пошта та інші сервіси.ІнфраструктураБудинок розташований в Дарницькому районі Києва за адресою вул. Драгоманова, 31з на відстані кроку від променаду озера «Позняки». До основних вокзалів та аеропортів автомобілем від 15 до 35 хвилин, до центру міста — півгодини. До станції метро «Позняки» всього 6 хвилин звичним кроком, а по проспекту Бажана їздять автобус №91 і маршрутні таксі №220 і №535.Для прогулянок відмінно підійде парк «Позняки» поруч з будинком, навколо однойменного озера є пішохідна зона. Також в 5 хвилинах пішки від комплексу знаходиться інше озеро — Лебедине — з набережної, скейт-парком і фітнес-зоною.Одразу за новим комплексом відкрита гімназія №315 з поглибленим вивченням іноземних мов, в 300 м — дитячий садок 314 «Капітошка», а до дитячого садка з яслами №31 «Всесвіт» 700 м. Також в окрузі функціонують приватні освітні центри, наприклад, Happy Point і Teenager School.Медична інфраструктура району багата на приватні клініки. До них відносяться «Альтернатива» в 100 м, «Добробут» — 700 м, «Наш Доктор» — 1 км, Oxford Medical — 950 м, KinderKlinik — 700 м і безліч інших. Якщо цікавлять державні установи — в межах 10 хвилин пішки розташовані амбулаторія №2, дитяча поліклініка №1 і центр первинної медико-санітарної допомоги Дарницького району.Сучасний тренажерний зал і workout-зона на території комплексу спростять життя резидентів 31. А велика кількість фітнес-центрів і 2 басейни поруч дозволять вам обирати той вид спорту, який приваблює сильніше.По сусідству з ЖК 31 працює кілька супермаркетів: «Лоток» і «ЕКО-маркет». Велике розмаїття торговельних центрів в окрузі надає жителям багато варіантів для дозвілля та шопінгу. Наприклад, через дорогу від будинку відкриті ТЦ «Піраміда» і «Паралель», а на іншій стороні — ТРЦ «Аладдін» з кінотеатром, ресторанами і магазинами.Особливостіпідземний паркінг дозволить завжди бути спокійним за безпеку вашого авто — про це подбають системи охорони та відеоспостереження, а також персоналізований доступвхідна група 31 — це дизайнерське лобі з комфортними лаунж-зонами, кімнатою для дитячих колясок, а також лапомийками для домашніх улюбленцівв будівництві 31 «Ковальська» використовує власні ресурси — такий підхід дозволяє компанії будувати якісно і завершувати свої проєкти в термін",72250,3251250,45,1,
ЖК Кирилівський Гай,Київміськбуд,комфорт,монолітно-каркасна,цегла,мінеральна вата,централізоване,1021,без ремонту,ні,підземний,true,,"«Кирилівський Гай» — це комплекс будинків на околиці вцілілого природного ландшафту лісу. Для комфортного відпочинку та прогулянок планують відновити занедбану частину парку та встановити зони відпочинку з місцями для барбекю.ІнфраструктураЖК розташований практично у самому парку, далеко від шуму магістралей. Але дістатися до будинку буде нескладно — до зупинок громадського транспорту 5-8 хвилин пішки. На машині через вулицю Герцена можна дістатися у сторону центру або по вулиці Мельникова на вулицю Олени Теліги.Якщо потрібні продукти — до «АТБ» 5 хвилин пішки, до «Сільпо» — 12, а до «Лук'янівського» ринку — 9 хвилин на авто. У пішій доступності розташований ТРЦ «Променада», в якому є супермаркет «Фора», піцерії, суші-бари, бістро та ресторани.Поруч з «Кирилівським Гаєм» 3 дитячих садка: № 544 — 4 хвилини, № 204 — 8 хвилин, № 180 — 9 хвилин пішки. Часто у дошкільних установах Києва немає місць, тому для жителів комплексу побудують дитячий садок на території. Дорога школяра на уроки не буде довгою: до школи №70 — 5 хвилин пішки, до школи №1 —10 хвилин, до шкіл № 199, №24 та 97 — 10 хвилин на авто.Для занять спортом будуть обладнані спортивні майданчики, для катання — скейт-парк. Велосипедистам сподобається місцевість району: у парку прокладені велодоріжки, а на території комплексу побудують додаткові вело-парки. 20 хвилин пішки до спорткомплексу «Авангард», в якому є баскетбольний майданчик, льодова арена, гімстанстичний комплекс та тренажерний зал. Футболісти зможуть доїхати до міні-футбольного стадіону «Спартак» за 7 хвилин.Проєктом передбачені торгівельні площі з окремими входами на перших та нульових поверхах.Особливостізелена паркова зонадворівневі підземні паркінги та гостьові стоянкизона для вигулу домашніх тваринзона для відпочинку та барбекюдитячі «місчетка» та спортивні майданчики",40300,2256800,56,2,
ЖК Берестейський,Міськбудінвест,комфорт,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),296,"без ремонту, з чорновим ремонтом",ні,підземний (226 паркомісць),true,,"«Берестейський» — приклад житлового комплексу що розвиває інфраструктуру району. Комплекс складається з 4 секцій різної поверховості: 2 секції соціально-побутових приміщень та 2 секції житлових площ. Секції з боку проспекту призначені для соціально-побутових приміщень. Житлові площі будуть розташовані у двох секціях другого ряду, які орієнтовані в протилежну від проспекту сторону.Вікна житлових секцій не виходять на сторону проспекту, що захищаєш майбутніх мешканців від шуму проїжджої частини. На другому поверсі ЖК «Берестейський» буде облаштована рекреаційна зона для мешканців з пішохідною терасою-еспланадою, місцями для відпочинку, елементами облаштування та озеленення території.ІнфраструктураКрім площ під комерцію, у внутрішню інфраструктуру комплексу входить фітнес-центр. Фітнес-центр в ЖК «Берестейський» — це тренажерний зал, два зали для аеробіки, салон краси, зони релаксації, медичний кабінет з масажною та зал для йоги. Особливість фітнес-центру у двох басейнах — дорослим 9,8х25 та дитячим 6х6 для оздоровчого плавання, розвивальних вправ та ігор на воді. Для пробіжок, катання на велосипеді й прогулянок на свіжому повітрі за 10 хвилин пішки зелена зона парку Нивки.Біля комплексу зручна транспортна розв'язка проспекту Перемоги — пішки можна дійти не тільки до станції метро, ​​але й до зупинок громадського транспорту: автобуса №306, тролейбусів №5, №7, №92Н, №93Н, № 94н та ще десятка маршрутних таксі.З супермаркетів в пішої доступності «Фора» та «Еко-маркет» — 10 хвилин пішки, а ще «Сільпо» на станції метро Шулявська — 19 хвилин пішки. Також біля найближчих станцій метро сконцентровані продуктові точки.До найближчого дитячого садка на іншій стороні проспекту Перемоги можна дійти хвилин за 13. Інші дошкільні установи розташовані за декілька хвилин їзди на авто: 6 хвилин до дитячого садка, 10 хвилин до дитячих садків «Кияночка», «Сонечко», №480, №225 та №395. Дорога до школи займатиме приблизно стільки ж часу: 8 хвилин пішки до школи №82, 4 хвилини на авто або 1 зупинка на транспорті до школи №74, 8 хвилин на авто до шкіл №46 та №324.Комплектаціявсі стіни в комплексі виконані з керамічної цегли, зовнішні стіни утеплені мінераловатними плитами та покриті тинькуваннямвхідні двері металеві та протипожежнібалконні двері й вікна — металопластикові з двокамерним склопакетомогорожа балконів, лоджій — цегляна зі тинькуванням, частково металеваогорожа французьких балконів — металевау житлових кімнатах й коридорах виконано цементно-піщана стяжка, в санвузлі й ванних кімнатах цементно-піщана стяжка з гідроізоляцієюопалює комплекс дахова газова котельня, виконана розводка, встановлені сталеві радіатори, прокладені труби для теплої підлогив кожній квартирі прокладена проводка, встановлені лічильники на воду, опалення та електрикутелефон та інтернет прокладається коштом інвестора",55075,2588525,47,1,
ЖК Eco Dream,Центробуд,комфорт,монолітно-каркасна,керамоблок,мінеральна вата,автономне (в будинку),269,під ремонт,від авто та сторонніх,"гостьовий, підземний (83 паркомісця)",true,,"Назва комплексу Eco Dream відображає головну концептуальну ідею, згідно з якою створюється проєкт, — екологічна тематика і гармонія людини з природою. Забудовник подбав про ретельний підбір екологічних матеріалів та раціональне використання енергетичних ресурсів, вивчивши досвід кращих європейських проєктів. Новобудова буде оснащена сучасними системами відеоспостереження та контролю доступу, LED-освітленням з датчиками руху і елементами сонячної енергетики — всі ці технології гарантують майбутнім мешканцям безпеку, комфорт проживання та істотно зменшать експлуатаційні витрати власників житла.На прибудинковій території передбачений ландшафтний дизайн, зони відпочинку, дитячий та спортивний майданчики. На цокольному і частково першому поверсі будуть об'єкти комерційної нерухомості для розміщення центру дитячого розвитку, міні-маркету, аптеки, кафе та інших об'єктів сфери послуг.ІнфраструктураВід ЖК Eco Dream до центру міста 25-30 хвилин на машині. До станції метро «Житомирська» 15 хвилин пішки або 3 зупинки на автобусі. По інший бік проспекту Перемоги розташована автостанція «Дачна».Жителі і гості комплексу напевно оцінять зелену зону, яка починається безпосередньо поруч з будинком: парк, за ним — озеро, прямо за озером — сосновий ліс. Тут міське життя поєднується з перевагами життя на природі: ранкові пробіжки, прогулянки з сім'єю, велосипедні маршрути.Всього за 10 хвилин ви дійдете до міської лікарні №7, за 20 хвилин — до онкоцентру з поліклінічним відділенням, поліклініка для дорослих №3 — 13 хвилин.В окрузі відкрито безліч навчальних закладів для дітей різних вікових груп — це Київський міжнародний університет, ліцей КиМУ, середня школа №140, гімназія №287, гімназія східних мов №1, спеціалізований НВК «Лілея», дитячі садки «Схід», №786, №532 та інші приватні центри.Якщо ви плануєте відвідувати тренажерний зал — в межах 15 хвилин пішки відкриті спортклуби «Олімп», «АтлетіКо», FitCurves, Legion IX, «Ринг». У теплу пору року можна займатися вейкбордингом на Ставку №14.За продуктами можна буде збігати в VARUS або «ЛотОк» поруч з будинком. У 2 хвилинах їзди є торговий центр «Академ Сіті» з брендовими магазинами, фуд-кортом, супермаркетом і магазинами техніки. Біля метро «Житомирська» є ще один ТЦ. Якщо лінь готувати — неподалік від ЖК Eco Dream відкриті ресторани «Верховина», «Ріоні», HANAMI Restaurant & Bar і кафе Calypso.Особливостівидові квартири — 70% всіх квартир мають мальовничий панорамний вид на парк, озеро і сосновий лісширокий вибір планувань — всього в комплексі спроєктовано 269 квартир з 1-, 2- і 3-кімнатними плануваннями. Можливо 12 типів планувань: класичний і відкритий — типу Studio і Familyенергоефективні технології — завдяки тому, що в будинку реалізують індивідуальну опалювальну систему, ви зможете самостійно контролювати режим нагріву води, а також температуру повітря",49625,1736875,35,1,
ЖК Караваєві Дачі,Онікс Білд,комфорт,монолітно-каркасна,газоблок (газобетон),мінеральна вата,автономне (в будинку),920,під ремонт,від авто та сторонніх,"гостьовий, підземний (98 паркомісць)",true,1,"Пропозиція купити квартиру в ЖК «Караваєві Дачі» в м. Київ від забудовника «Онікс Білд» може виявитися привабливою для різних людей. Новий будинок категорії «комфорт» з внутрішньою інфраструктурою і підземним паркінгом реалізує квартири, що відрізняються розмірами й плануваннями та прийнятною вартістю.Розташування та транспортна доступністьРозташований житловий комплекс «Караваєві Дачі» в Києві в Солом’янському районі. Транспортну доступність будинку оцінюють як високу. У районі курсує кілька маршрутів наземного громадського транспорту. Недалеко від комплексу розташована залізнична станція, що допоможе швидко дістатися до центру чи вибратися за місто. До найближчого метро «Шулявська» кілька зупинок на маршрутці.Інфраструктура«Караваєві Дачі» – житловий комплекс, який будують у районі з розвиненою інфраструктурою. Тут достатня кількість дитячих установ і магазинів, у пішій доступності є парк, фітнес-центр. Перші поверхи ЖК будуть відведені під об’єкти внутрішньої інфраструктури, офіси, торгові приміщення, що зробить життя тут ще більш комфортним.Продаж квартирЗапропонована в будинку нерухомість – це стандартні 1-3-кімнатні й smart-квартири з мінімальними метражами 24-25 кв. м. Останні мають планування по типу студій, цілком комфортні для проживання, відрізняються вигідними цінами, і в подальшому будуть обкладатися мінімальними комунальними платежами. У ході будівництва в приміщеннях виконується чорновий ремонт.Ті, кого зацікавив продаж квартир у ЖК «Караваєві Дачі», ціни зможуть переглянути на офіційному сайті проєкту. На ньому ж можна отримати інформацію про можливість оформлення розстрочки, спеціальні пропозиції і акції від забудовника, дізнатися останні новини з місця будівництва, побачити фото комплексу. А от на міських форумах варто шукати відгуки інших покупців про ЖК на вул. Польова,73 в м. Київ.",57750,1501500,26,1,
ЖК Club House,RP Development,економ,монолітно-каркасна,газоблок (газобетон),мінеральна вата,індивідуальне (в квартирі),214,під ремонт,від авто та сторонніх,гостьовий,true,,,29500,796500,27,1,
ЖК Obolon Residences,,преміум,монолітно-каркасна,цегла,мінеральна вата,автономне (в будинку),436,під ремонт,від авто та сторонніх,"гостьовий, підземний з ліфтом (251 паркомісце)",true,,"Obolon Residences – це сучасний житловий комплекс преміум класу, що знаходиться в самому серці Оболоні, в декількох кроках від станції метро «Мінська».Перша і друга секції Obolon Residences побудовані і здані в експлуатацію в жовтні 2015 року та березні 2017 року відповідно. А у грудні 2020 року введено в експлуатацію третю й останню секцію комплексу! На власній території комплексу організовано дитячий та спортивний майданчики, зону для відпочинку, виконано озеленення та благоустрій території перед комплексом.Житловий комплекс закритого типу пропонує своїм жителям безпрецедентний спектр послуг та ексклюзивну інфраструктуру, як у найкращих резиденціях світових мегаполісів, серед яких: лаунж-зона на даху з джакузі, спортзал, дитяча кімната, конференц-зал, пральня і п'ятизірковий консьєрж-сервіс.Західний дизайн, розкішні інтер'єри лобі та поверхів, мармурове оздоблення, швидкісні ліфти є візитівкою комплексу, що сильно вирізняє його серед існуючих пропозицій на ринку житла преміум-класу. Панорамні вікна, ефективне планування квартир, статусні пентхауси вразять навіть найвибагливіших!Загальна будівельна площа комплексу перевищує 67 тис. кв.м, має власну упорядковану територію із масштабним загальним подіумом, що об’єднує три будівлі заввишки у 26 поверхів. У кожній секції передбачено дворівневий паркінг, в який можна спуститися прямо на ліфті. Дизайнери ЖК Obolon Residences подбали про розмаїття планувальних рішень: від однокімнатних студіо до чотирикімнатних апартаментів та розкішних дворівневих пентхаусів із виходом до власної лаунж-зони на даху.Інвестором і забудовником проєкту є британський інвестиційний фонд Dragon-Ukrainian Properties&Development (DUPD), що спеціалізується на житловій та торгівельній нерухомості, портфоліо якого окрім ЖК Obolon Residences також включає такі успішні проєкти як ексклюзивне клубне містечко Riviera Villas, котеджне містечко Green Hills, розташовані поруч із Києвом.ЖК Obolon Residences – переможець престижної європейської премії European Property Awards 2014-2015 в категорії «Висотні житлові будинки» та European Property Awards 2016-2017 в категорії «Архітектура висотних будинків».У листопаді 2015 року ЖК Obolon Residences отримав Премію у сфері нерухомості країн Східної Європи та Азії в номінації «Проєкт року в житловій нерухомості».В червні 2016 року у Obolon Residences було успішно реалізовано систему «Централізований Розумний Будинок», що охоплює усю технічну інфраструктуру та апартаменти комплексу. Купуючи квартиру, її власник автоматично реєструється в загальнійсистемі «Розумного Будинку» та підключається до загальнобудинкових функцій за допомогою спеціального ергономічного додатку на своєму смартфоні, тобто кожен власник одразу отримує доступ 24/7 до IP-домофону (у тому числі переадресація відео-дзвінка на смартфон або планшет), лічильників електрики, консьєрж-сервісу, зв'язок із сервісною компанією, а також веб-камерам в зоні лобі, дитячого майданчика, дитячої кімнати та лаунж-зони.Генпідрядник ТОВ «БП-4 КМБ-1», Реєстраційний запис Ліцензії №2013051837, отриманої в електронному вигляді на підставі Рішення Державної Ахрітектурно-Будівельної Інспекції України №34-Л від 13.06.2018 р. на ведення Господарської діяльності з будівництва об’єктів, що за класом наслідків (відповідальності) належать до об’єктів з середніми та значними наслідками. Дозвіл на виконання будівельних робіт від 18.03.2011 №2431-Об, виданий Інспекцією державного архітектурно-будівельного контролю у м. Києві.Продаж квартир здійснює ТОВ ""КУА ОЗОН""(код: 33936496), Ліцензія НКЦПФР на здійснення професійної діяльності на фондовому ринку - діяльності з управління активами інституційних інвесторів (діяльність з управління активами) від 06.05.2016р. термін дії безстрокова, переоформлена згідно Рішення НКЦПФР №162 від 16.02.2016р., яке діє в інтересах та за рахунок Закритого недиверсифікованого венчурного пайового інвестиційного фонду «Девелопмент-2» (код за ЄДРІСІ 23300300, Свідоцтво НКЦПФР № 00300-1 видане 29.09.2015р. Термін дії фонду з 06.01.2015р. по 06.01.2025р.).",,,121,3,
Kub29,Ковальська,комфорт,монолітно-каркасна,цегла,мінеральна вата,централізоване,223,без ремонту,від автомобілів,"гостьовий (9 паркомісць), підземний з ліфтом (99 паркомісць)",true,,"Kub29 - унікальний проєкт з нестандартною кубічної архітектурою, який стане прикрасою Дніпровського району Києва. Завдяки унікальному кроку балконів з кожної квартири незалежно від поверху відкривається панорама на Правий берег, Дніпровську набережну, русло Дніпра та Києво-Печерську Лавру. Проєктом передбачені квартири різних площ і планувань, а на чотирьох верхніх поверхах розміщені дворівневі апартаменти з просторими терасами для відпочинку на свіжому повітрі.Внутрішній двір закритий від автомобілів. Мешканці комплексу зможуть користуватися підземним паркінгом на 99 паркомісць, а поруч з будинком передбачені місця для тимчасової стоянки та розвантаження автомобілів. Спуститися до паркінгу з будь-якого поверху можна буде ліфтом з персоналізованих доступом.ІнфраструктураKub29 будують поруч з Дніпровською набережною, Дарницьким мостом, лінією міської електрички та розв'язкою на перетині вулиць Юрія Шумського і Березняківської, що обіцяє грану комунікацію з Правим берегом та іншими лівобережними районами міста. У пішому доступі від новобудови зупинки кількох міських автобусів та маршруток, а також станція міської електрички «Лівий Берег». До найближчої станції метро «Видубичі» — 5 хвилин на авто Дарницьким мостом.Поруч з новобудовою розташовані дитячі садки, школи, спортивні зали, кафе, ресторани та магазини різної спрямованості. До найближчого продуктового супермаркету «Велмарт» — 3 хвилини пішки, а на 10 хвилин далі — супермаркет «Сільпо». Ще кілька магазинів великих торгових мереж працюють у радіусі 4-6 хвилин на авто від будинку: два супермаркети Novus, «Сільпо» та «Фора». За ті ж 4 хвилини можна доїхати до ринку «Березняки». На відстані 5 хвилин автомобілем від Kub29 — найбільший на лівому березі ТРЦ River Mall з галереєю магазинів відомих брендів і фуд-кортом з краєвидом на річку.Сім'ї з дітьми порадує наявність у районі новобудови цілого ряду навчально-виховних установ для різних вікових груп. Для малюків у радіусі 15 хвилин пішки від Kub29 кілька дитячих садків: до НВК №209 — 4 хвилини, до садів №525 та «Планети дитинства» — 7 хвилин, садка №515 — 9 хвилин, садка «ЯМБ» — 15 хвилин. На відстані 5-6 хвилин автомобілем від будинку — НВК №30 «Еколенд» та дитячий розважальний центр «Країна Мрій». Діти старшого віку зможуть продовжити освіту у найближчих школах №288 та №209, до яких 3-4 хвилини пішки. Також ходити на заняття пішки зможуть учні гімназії №191 та християнської альтернативної школи New Life School, до яких 16-18 хвилин.На відстані 15 хвилин пішки від комплексу кілька сучасних спортивних залів та фітнес-центрів: «Росичі», «Атлетіко», FreeStyle та легкоатлетичний манеж. Для поціновувачів велопоїздок поруч з будинком Дніпровська набережна з велодоріжками протяжністю понад 5 км.Влітку відпочити на свіжому повітрі за 8 хвилин пішки від будинку можна на пляжі «Березняки», де працюють мотузковий парк «Активна Країна», пляжний комплекс Wave з рестораном та кафе «Альтанки на Березняках». За 15 хвилин пішки від комплексу досить популярний серед мешканців району пляж «Тельбін» на березі одноименного озера.Комплектаціяцегляні стіни завтовшки 120 мм утеплені мінераловатними плитами під декоративну штукатурку та оздоблення клінкерною плиткоюпанорамні металопластикові віконні системи Rehau, скляні балконні групи та відкриті тераси зі скляними огорожамиопалення від централізованих міських мережзакрита територія з концепцією «без авто»",65325,2482350,38,1,
